symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
LODHA,orb_vwap,MIS,2026-06-17 10:10:00,2026-06-17 10:45:00,901.5,912.6,33,-366.3,-398.08,-1.58,vwap_cross
DMART,orb_vwap,MIS,2026-06-17 10:35:00,2026-06-17 10:45:00,4248.8,4237.0,7,-82.6,-114.09,-1.03,vwap_cross
ZYDUSLIFE,orb_vwap,MIS,2026-06-17 11:35:00,2026-06-17 15:15:00,1063.0,1061.0,28,56.0,24.47,0.28,forced_close
UNIONBANK,orb_vwap,MIS,2026-06-18 09:30:00,2026-06-18 10:00:00,171.01,170.52,175,-85.75,-117.43,-0.61,vwap_cross
BEL,orb_vwap,MIS,2026-06-18 09:35:00,2026-06-18 09:55:00,424.7,424.05,70,-45.5,-77.0,-0.49,vwap_cross
COCHINSHIP,orb_vwap,MIS,2026-06-18 09:35:00,2026-06-18 11:30:00,1503.0,1509.0,19,-114.0,-144.36,-0.73,vwap_cross
RVNL,orb_vwap,MIS,2026-06-18 09:35:00,2026-06-18 10:30:00,246.48,247.75,121,-153.67,-185.4,-0.76,vwap_cross
MARICO,orb_vwap,MIS,2026-06-18 09:40:00,2026-06-18 10:35:00,827.55,824.0,36,-127.8,-159.31,-0.65,vwap_cross
NHPC,orb_vwap,MIS,2026-06-18 09:40:00,2026-06-18 15:15:00,75.44,76.11,397,265.99,234.06,1.51,forced_close
SOLARINDS,orb_vwap,MIS,2026-06-18 09:40:00,2026-06-18 09:55:00,17834,17709,1,-125,-143.83,-1.2,vwap_cross
CGPOWER,orb_vwap,MIS,2026-06-18 09:45:00,2026-06-18 15:00:00,956.65,955.25,31,43.4,11.98,0.23,vwap_cross
TRENT,orb_vwap,MIS,2026-06-18 09:45:00,2026-06-18 10:30:00,3150.0,3144.0,9,-54.0,-84.03,-0.34,vwap_cross
NYKAA,orb_vwap,MIS,2026-06-18 10:10:00,2026-06-18 15:15:00,291.4,298.35,102,708.9,676.93,1.69,forced_close
UNITDSPR,orb_vwap,MIS,2026-06-18 10:20:00,2026-06-18 14:45:00,1348.4,1346.8,22,-35.2,-66.64,-0.18,vwap_cross
YESBANK,orb_vwap,MIS,2026-06-18 10:20:00,2026-06-18 11:00:00,25.67,25.49,1168,-210.24,-241.9,-1.14,vwap_cross
RADICO,orb_vwap,MIS,2026-06-18 10:40:00,2026-06-18 15:15:00,3665.0,3692.8,8,222.4,191.17,0.7,forced_close
TMPV,orb_vwap,MIS,2026-06-18 10:40:00,2026-06-18 14:50:00,361.95,362.85,82,-73.8,-105.32,-0.48,vwap_cross
