symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
ZYDUSLIFE,bollinger_meanrev,MIS,2026-07-07 09:50:00,2026-07-07 10:45:00,1166.2,1163.6285714285714,25,64.29,33.41,0.31,trailing_stop
COCHINSHIP,bollinger_meanrev,MIS,2026-07-07 11:05:00,2026-07-07 11:20:00,1455.0,1463.1571428571428,20,-163.14,-194.11,-0.97,trailing_stop
JSWSTEEL,bollinger_meanrev,MIS,2026-07-07 11:15:00,2026-07-07 12:00:00,1245.1,1241.3,24,91.2,59.57,0.66,target_mid_band
INDHOTEL,bollinger_meanrev,MIS,2026-07-07 11:25:00,2026-07-07 12:10:00,744.55,746.7142857142858,40,-86.57,-118.21,-0.86,trailing_stop
BANKINDIA,bollinger_meanrev,MIS,2026-07-07 11:30:00,2026-07-07 12:10:00,142.67,141.93,210,155.4,123.73,1.22,target_mid_band
COROMANDEL,bollinger_meanrev,MIS,2026-07-07 12:00:00,2026-07-07 12:05:00,2064.4,2070.057142857143,14,-79.2,-109.9,-1.28,trailing_stop
NYKAA,bollinger_meanrev,MIS,2026-07-07 12:00:00,2026-07-07 12:45:00,316.45,316.7214285714286,94,-25.51,-57.08,-0.3,trailing_stop
UNITDSPR,bollinger_meanrev,MIS,2026-07-07 12:45:00,2026-07-07 13:10:00,1437.4,1435.2,20,44.0,13.54,0.44,trailing_stop
BPCL,bollinger_meanrev,MIS,2026-07-07 12:50:00,2026-07-07 12:55:00,310.05,311.0285714285714,96,-93.94,-125.57,-1.14,trailing_stop
MARICO,bollinger_meanrev,MIS,2026-07-07 12:50:00,2026-07-07 13:15:00,846.35,843.1,35,113.75,82.41,0.96,target_mid_band
MOTHERSON,bollinger_meanrev,MIS,2026-07-07 12:50:00,2026-07-07 13:45:00,144.01,143.76,208,52.0,20.27,0.37,target_mid_band
COALINDIA,bollinger_meanrev,MIS,2026-07-07 13:05:00,2026-07-07 13:25:00,428.3,429.2,70,-63.0,-94.83,-0.69,trailing_stop
